Id;IdEmpleado;TipoVerif;TipoIngreso;DiaIngreso;HoraIngreso
;933;1;0;2016-09-01;17:00:09
;836;1;0;2016-09-01;17:00:14
;432;1;0;2016-09-01;17:00:19
;3713;1;0;2016-09-01;17:00:23
;716;1;0;2016-09-01;17:00:28
;3716;1;0;2016-09-01;17:00:33
;752;1;0;2016-09-01;17:00:38
;988;1;0;2016-09-01;17:00:42
;3709;1;0;2016-09-01;17:00:50
;703;1;0;2016-09-01;17:00:54
;719;1;0;2016-09-01;17:00:58
;679;2;0;2016-09-01;17:01:04
;212;1;0;2016-09-01;17:01:09
;802;1;0;2016-09-01;17:01:14
;711;1;0;2016-09-01;17:01:20
;961;1;0;2016-09-01;17:01:24
;698;1;0;2016-09-01;17:01:29
;355;1;0;2016-09-01;17:01:33
;596;1;0;2016-09-01;17:01:39
;3711;1;0;2016-09-01;17:01:44
;3701;1;0;2016-09-01;17:01:48
;832;1;0;2016-09-01;17:01:52
;945;1;0;2016-09-01;17:01:56
;3715;1;0;2016-09-01;17:02:08
;3718;1;0;2016-09-01;17:02:13
;794;1;0;2016-09-01;17:02:19
;3714;1;0;2016-09-01;17:02:29
;946;1;0;2016-09-01;17:02:33
;499;1;0;2016-09-01;17:02:38
;893;1;0;2016-09-01;17:02:43
;3707;1;0;2016-09-01;17:02:47
;863;1;0;2016-09-01;17:02:53
;916;1;0;2016-09-01;17:02:58
;387;1;0;2016-09-01;17:03:02
;616;1;0;2016-09-01;17:03:07
;987;1;0;2016-09-01;17:03:12
;3705;1;0;2016-09-01;17:03:17
;919;1;0;2016-09-01;17:03:22
;656;2;0;2016-09-01;17:03:29
;803;1;0;2016-09-01;17:03:33
;88;1;0;2016-09-01;17:03:38
;676;1;1;2016-09-01;17:03:44
;58;1;0;2016-09-01;17:03:50
;894;1;0;2016-09-01;17:03:54
;395;1;0;2016-09-01;17:03:59
;851;1;0;2016-09-01;17:04:04
;704;1;0;2016-09-01;17:04:08
;929;1;0;2016-09-01;17:04:13
;713;1;0;2016-09-01;17:04:17
;844;1;0;2016-09-01;17:04:21
;889;1;0;2016-09-01;17:04:31
;971;1;0;2016-09-01;17:04:36
;821;1;0;2016-09-01;17:04:46
;729;1;0;2016-09-01;17:04:50
;747;1;0;2016-09-01;17:04:55
;982;1;0;2016-09-01;17:05:01
;861;1;0;2016-09-01;17:06:33
;842;1;0;2016-09-01;17:09:52
;765;1;0;2016-09-01;17:10:25
;969;1;0;2016-09-01;17:16:06
;857;1;0;2016-09-01;17:21:58
;941;1;0;2016-09-01;17:30:04
;710;1;0;2016-09-01;17:30:20
;878;1;0;2016-09-01;17:32:35
;950;1;0;2016-09-01;17:53:50
;908;1;0;2016-09-01;18:00:05
;756;1;0;2016-09-01;18:00:09
;835;1;0;2016-09-01;18:00:17
;3710;1;0;2016-09-01;18:00:22
;901;1;0;2016-09-01;18:00:30
;737;1;0;2016-09-01;18:00:38
;258;1;0;2016-09-01;18:00:44
;267;1;0;2016-09-01;18:01:02
;377;1;0;2016-09-01;18:01:07
;391;1;0;2016-09-01;18:01:13
;957;1;0;2016-09-01;18:01:17
;928;1;0;2016-09-01;18:01:21
;3703;1;0;2016-09-01;18:01:30
;3706;1;0;2016-09-01;18:02:09
;1399;1;0;2016-09-01;18:02:15
;3704;1;0;2016-09-01;18:03:03
;451;1;0;2016-09-01;18:03:44
;834;1;0;2016-09-01;18:05:37
;466;1;0;2016-09-01;18:05:42
;989;1;0;2016-09-01;18:06:12
;3712;1;0;2016-09-01;18:08:22
;428;1;0;2016-09-01;18:11:11
;944;1;0;2016-09-01;18:29:11
;914;1;0;2016-09-01;19:01:16
;892;1;0;2016-09-01;19:01:21
;879;1;0;2016-09-01;19:50:09
;318;1;0;2016-09-01;20:09:11
;965;1;0;2016-09-01;22:00:06
;808;1;0;2016-09-01;22:01:20
;981;1;0;2016-09-01;23:00:06
